תחום בקרה,בקרה נבדקת,מקור קלט,רמת דרישה,קטגוריית ממצא,דוגמאות לממצאים,סטטוס כיסוי
Access Management,שימוש במשתמשים קריטיים,USERS,חובה,Access,שימוש במשתמש קריטי; לא זוהה שימוש במשתמשים קריטיים,מיושם
Access Management,הרשאות ניהול ישירות למשתמשים,GRANTED_PRIVILEGES,חובה,Access,הרשאה קריטית חריגה; לא זוהו הרשאות קריטיות חריגות,מיושם
Access Management,הרשאות רגישות דרך Role inheritance,GRANTED_ROLES + GRANTED_PRIVILEGES,מומלץ,Role-Based Access,תפקיד רגיש הוקצה; תפקיד הוקצה ל-PUBLIC; קלט GRANTED_ROLES חסר,מיושם
Password Policy,מדיניות סיסמאות בטבלת HANA,M_PASSWORD_POLICY,חובה,Password Policy,חריגה במדיניות סיסמאות; מדיניות סיסמאות תקינה,מיושם
Password Policy,פרמטרי סיסמאות ברמת INI,M_INIFILE_CONTENTS,חובה,Configuration Hardening,אורך סיסמה מינימלי; חובת החלפת סיסמה ראשונית; היסטוריית סיסמאות; ניסיונות התחברות שגויים,מיושם
Audit Logging,קיום והפעלה של Audit Policies,AUDIT_POLICIES,חובה,Audit Config,מדיניות ניטור פעילה; מדיניות ניטור מושבתת; מדיניות ניטור אינה מוגדרת,מיושם
Audit Logging,ראיות Audit בפועל מתקופת הביקורת,AUDIT_TRAIL,מומלץ,Audit Evidence,נמצאו אירועי Audit קריטיים ביומן; אירוע Audit חריג; קלט AUDIT_TRAIL חסר,מיושם
Configuration Hardening,Audit global state,M_INIFILE_CONTENTS,חובה,Configuration Hardening,Audit trail גלובלי חייב להיות פעיל,מיושם
Configuration Hardening,Log mode,M_INIFILE_CONTENTS,חובה,Configuration Hardening,Log mode חייב להיות NORMAL,מיושם
Configuration Hardening,Detailed error on connect,M_INIFILE_CONTENTS,חובה,Configuration Hardening,אין לחשוף הודעות שגיאה מפורטות בהתחברות,מיושם
Configuration Hardening,Password lock for system user,M_INIFILE_CONTENTS,חובה,Configuration Hardening,נעילת משתמשי SYSTEM חייבת להיות פעילה,מיושם
User Access Review,סקירת משתמשים וחריגים,USERS + GRANTED_PRIVILEGES,תומך בקרה,User Review / Access,חריג במסגרת סקירת משתמשים; החלטת מנהל,מיושם
